X;Y;AVERAGE_GRADE
902.00000;286.00000;3.14842
946.00000;286.00000;2.39861
990.00000;286.00000;1.71446
1034.00000;286.00000;2.29395
1078.00000;286.00000;2.81736
1122.00000;286.00000;3.10411
1166.00000;286.00000;3.17349
1210.00000;286.00000;2.98558
1254.00000;286.00000;2.82525
1298.00000;286.00000;2.66456
1342.00000;286.00000;1.59259
1386.00000;286.00000;1.19049
1430.00000;286.00000;1.16350
1474.00000;286.00000;0.88531
1518.00000;286.00000;0.81181
1562.00000;286.00000;0.82918
1606.00000;286.00000;1.21970
1650.00000;286.00000;1.65993
1694.00000;286.00000;2.18674
1738.00000;286.00000;2.78510
1782.00000;286.00000;3.60326
1826.00000;286.00000;4.36225
66.00000;330.00000;1.97641
110.00000;330.00000;2.43291
154.00000;330.00000;2.01206
198.00000;330.00000;1.98098
242.00000;330.00000;2.43995
286.00000;330.00000;2.68047
330.00000;330.00000;2.36952
374.00000;330.00000;2.11355
418.00000;330.00000;2.43325
462.00000;330.00000;2.95101
506.00000;330.00000;3.22272
550.00000;330.00000;3.18160
594.00000;330.00000;2.95218
638.00000;330.00000;2.64173
682.00000;330.00000;2.82102
726.00000;330.00000;2.59895
770.00000;330.00000;2.81521
814.00000;330.00000;3.09185
858.00000;330.00000;3.50769
902.00000;330.00000;3.18423
946.00000;330.00000;2.71859
990.00000;330.00000;2.13902
1034.00000;330.00000;1.91318
1078.00000;330.00000;2.53660
1122.00000;330.00000;2.87981
1166.00000;330.00000;3.13823
1210.00000;330.00000;3.16652
1254.00000;330.00000;3.33150
1298.00000;330.00000;3.15519
1342.00000;330.00000;1.98616
1386.00000;330.00000;1.30258
1430.00000;330.00000;1.02615
1474.00000;330.00000;0.79005
1518.00000;330.00000;0.68716
1562.00000;330.00000;0.62416
1606.00000;330.00000;0.95016
1650.00000;330.00000;1.74643
1694.00000;330.00000;2.40229
1738.00000;330.00000;2.86475
1782.00000;330.00000;3.55368
1826.00000;330.00000;4.30927
66.00000;374.00000;2.27520
110.00000;374.00000;2.54218
154.00000;374.00000;2.29514
198.00000;374.00000;2.34934
242.00000;374.00000;2.47496
286.00000;374.00000;3.16131
330.00000;374.00000;2.82158
374.00000;374.00000;2.33034
418.00000;374.00000;2.11316
462.00000;374.00000;2.05493
506.00000;374.00000;2.26310
550.00000;374.00000;2.50257
594.00000;374.00000;2.69312
638.00000;374.00000;2.98457
682.00000;374.00000;3.14712
726.00000;374.00000;2.62360
770.00000;374.00000;2.98094
814.00000;374.00000;2.94063
858.00000;374.00000;3.16987
902.00000;374.00000;3.09069
946.00000;374.00000;2.95009
990.00000;374.00000;2.65414
1034.00000;374.00000;2.36529
1078.00000;374.00000;2.84858
1122.00000;374.00000;3.09818
1166.00000;374.00000;3.42674
1210.00000;374.00000;3.70722
1254.00000;374.00000;3.75154
1298.00000;374.00000;3.60335
1342.00000;374.00000;2.46769
1386.00000;374.00000;1.72478
1430.00000;374.00000;0.94605
1474.00000;374.00000;0.72982
1518.00000;374.00000;0.64682
1562.00000;374.00000;0.58870
1606.00000;374.00000;0.99107
1650.00000;374.00000;1.62347
1694.00000;374.00000;2.29589
1738.00000;374.00000;2.90569
1782.00000;374.00000;3.32114
1826.00000;374.00000;4.13073
66.00000;418.00000;2.57689
110.00000;418.00000;2.66146
154.00000;418.00000;2.54247
198.00000;418.00000;2.54517
242.00000;418.00000;2.64498
286.00000;418.00000;2.85842
330.00000;418.00000;3.13546
374.00000;418.00000;3.15805
418.00000;418.00000;2.98342
462.00000;418.00000;2.74491
506.00000;418.00000;2.67362
550.00000;418.00000;2.86313
594.00000;418.00000;3.12598
638.00000;418.00000;3.43355
682.00000;418.00000;3.66304
726.00000;418.00000;3.30436
770.00000;418.00000;3.14906
814.00000;418.00000;2.96705
858.00000;418.00000;2.82924
902.00000;418.00000;3.01322
946.00000;418.00000;3.12955
990.00000;418.00000;3.08252
1034.00000;418.00000;3.03111
1078.00000;418.00000;2.79008
1122.00000;418.00000;2.76131
1166.00000;418.00000;2.84817
1210.00000;418.00000;3.80409
1254.00000;418.00000;3.98751
1298.00000;418.00000;3.88129
1342.00000;418.00000;3.18072
1386.00000;418.00000;2.30493
1430.00000;418.00000;1.59275
1474.00000;418.00000;1.03808
1518.00000;418.00000;0.71520
1562.00000;418.00000;0.61640
1606.00000;418.00000;0.98121
1650.00000;418.00000;1.52280
1694.00000;418.00000;2.13930
1738.00000;418.00000;2.73320
1782.00000;418.00000;3.19710
1826.00000;418.00000;3.62704
66.00000;462.00000;2.80113
110.00000;462.00000;2.94394
154.00000;462.00000;2.96253
198.00000;462.00000;2.58771
242.00000;462.00000;2.85122
286.00000;462.00000;3.03308
330.00000;462.00000;3.29093
374.00000;462.00000;3.48096
418.00000;462.00000;3.60990
462.00000;462.00000;3.40632
506.00000;462.00000;3.20426
550.00000;462.00000;3.25987
594.00000;462.00000;3.49026
638.00000;462.00000;3.86011
682.00000;462.00000;3.81547
726.00000;462.00000;3.52965
770.00000;462.00000;3.13895
814.00000;462.00000;2.81934
858.00000;462.00000;3.12009
902.00000;462.00000;3.13839
946.00000;462.00000;3.17311
990.00000;462.00000;3.37825
1034.00000;462.00000;3.47683
1078.00000;462.00000;3.10173
1122.00000;462.00000;2.81388
1166.00000;462.00000;2.57876
1210.00000;462.00000;2.39406
1254.00000;462.00000;2.64204
1298.00000;462.00000;3.22834
1342.00000;462.00000;3.24615
1386.00000;462.00000;2.72736
1430.00000;462.00000;2.21217
1474.00000;462.00000;1.33512
1518.00000;462.00000;1.16914
1562.00000;462.00000;1.04121
1606.00000;462.00000;1.16000
1650.00000;462.00000;1.72750
1694.00000;462.00000;2.27313
1738.00000;462.00000;2.79060
1782.00000;462.00000;3.10125
1826.00000;462.00000;3.58171
66.00000;506.00000;2.89164
110.00000;506.00000;2.82263
154.00000;506.00000;2.76985
198.00000;506.00000;2.71778
242.00000;506.00000;2.68010
286.00000;506.00000;2.66341
330.00000;506.00000;2.66842
374.00000;506.00000;2.98619
418.00000;506.00000;3.33769
462.00000;506.00000;3.51188
506.00000;506.00000;3.72915
550.00000;506.00000;3.83894
594.00000;506.00000;3.98293
638.00000;506.00000;3.93641
682.00000;506.00000;4.34639
726.00000;506.00000;3.80726
770.00000;506.00000;3.22604
814.00000;506.00000;2.74872
858.00000;506.00000;2.42741
902.00000;506.00000;3.41122
946.00000;506.00000;2.90599
990.00000;506.00000;3.38911
1034.00000;506.00000;3.86330
1078.00000;506.00000;3.43917
1122.00000;506.00000;2.98476
1166.00000;506.00000;2.55752
1210.00000;506.00000;1.98085
1254.00000;506.00000;1.81065
1298.00000;506.00000;2.48194
1342.00000;506.00000;2.84447
1386.00000;506.00000;2.77032
1430.00000;506.00000;2.61535
1474.00000;506.00000;1.76894
1518.00000;506.00000;1.64296
1562.00000;506.00000;1.52143
1606.00000;506.00000;1.52824
1650.00000;506.00000;1.97837
1694.00000;506.00000;2.29250
1738.00000;506.00000;2.75294
1782.00000;506.00000;3.08492
1826.00000;506.00000;3.45709
66.00000;550.00000;2.92843
110.00000;550.00000;2.81421
154.00000;550.00000;2.74160
198.00000;550.00000;2.66079
242.00000;550.00000;2.57538
286.00000;550.00000;2.48909
330.00000;550.00000;2.45886
374.00000;550.00000;2.61135
418.00000;550.00000;2.84040
462.00000;550.00000;2.96679
506.00000;550.00000;2.78093
550.00000;550.00000;2.75227
594.00000;550.00000;2.77995
638.00000;550.00000;2.71370
682.00000;550.00000;3.29458
726.00000;550.00000;3.29454
770.00000;550.00000;2.95421
814.00000;550.00000;2.54907
858.00000;550.00000;2.21714
902.00000;550.00000;2.09618
946.00000;550.00000;2.77335
990.00000;550.00000;3.41340
1034.00000;550.00000;3.92234
1078.00000;550.00000;3.89868
1122.00000;550.00000;3.48862
1166.00000;550.00000;2.96411
1210.00000;550.00000;2.46791
1254.00000;550.00000;2.13751
1298.00000;550.00000;2.07520
1342.00000;550.00000;1.97109
1386.00000;550.00000;1.94954
1430.00000;550.00000;2.14779
1474.00000;550.00000;2.17157
1518.00000;550.00000;2.10771
1562.00000;550.00000;2.02763
1606.00000;550.00000;1.97980
1650.00000;550.00000;2.04555
1694.00000;550.00000;2.48211
1738.00000;550.00000;2.78083
1782.00000;550.00000;3.15385
1826.00000;550.00000;3.37435
66.00000;594.00000;2.95421
110.00000;594.00000;2.83023
154.00000;594.00000;2.75311
198.00000;594.00000;2.65141
242.00000;594.00000;2.54037
286.00000;594.00000;2.42304
330.00000;594.00000;2.26430
374.00000;594.00000;2.28301
418.00000;594.00000;2.39895
462.00000;594.00000;2.57622
506.00000;594.00000;2.32048
550.00000;594.00000;2.22425
594.00000;594.00000;2.06373
638.00000;594.00000;1.76717
682.00000;594.00000;2.16562
726.00000;594.00000;2.35025
770.00000;594.00000;2.33473
814.00000;594.00000;2.09363
858.00000;594.00000;1.78103
902.00000;594.00000;1.59996
946.00000;594.00000;2.47730
990.00000;594.00000;3.30499
1034.00000;594.00000;3.95271
1078.00000;594.00000;4.19380
1122.00000;594.00000;3.92807
1166.00000;594.00000;3.41134
1210.00000;594.00000;2.94116
1254.00000;594.00000;2.58647
1298.00000;594.00000;2.45846
1342.00000;594.00000;2.28252
1386.00000;594.00000;2.25944
1430.00000;594.00000;2.50035
1474.00000;594.00000;2.47658
1518.00000;594.00000;2.48505
1562.00000;594.00000;2.49040
1606.00000;594.00000;2.52976
1650.00000;594.00000;2.56664
1694.00000;594.00000;2.68720
1738.00000;594.00000;2.88870
1782.00000;594.00000;3.11794
1826.00000;594.00000;3.22845
66.00000;638.00000;2.97754
110.00000;638.00000;3.24777
154.00000;638.00000;3.35841
198.00000;638.00000;3.40577
242.00000;638.00000;3.35840
286.00000;638.00000;3.19943
330.00000;638.00000;2.94771
374.00000;638.00000;2.25399
418.00000;638.00000;1.99985
462.00000;638.00000;2.17457
506.00000;638.00000;1.53200
550.00000;638.00000;1.40065
594.00000;638.00000;1.31909
638.00000;638.00000;1.13280
682.00000;638.00000;1.16210
726.00000;638.00000;1.53814
770.00000;638.00000;1.72654
814.00000;638.00000;1.65492
858.00000;638.00000;1.46795
902.00000;638.00000;1.15996
946.00000;638.00000;2.20737
990.00000;638.00000;3.24165
1034.00000;638.00000;4.06871
1078.00000;638.00000;4.47263
1122.00000;638.00000;4.38416
1166.00000;638.00000;3.86146
1210.00000;638.00000;3.41141
1254.00000;638.00000;3.09766
1298.00000;638.00000;2.84517
1342.00000;638.00000;2.19180
1386.00000;638.00000;2.57025
1430.00000;638.00000;2.68208
1474.00000;638.00000;2.70478
1518.00000;638.00000;2.64725
1562.00000;638.00000;2.76228
1606.00000;638.00000;2.84817
1650.00000;638.00000;2.81099
1694.00000;638.00000;2.83695
1738.00000;638.00000;2.95863
1782.00000;638.00000;3.07084
1826.00000;638.00000;3.16073
66.00000;682.00000;3.00080
110.00000;682.00000;3.32240
154.00000;682.00000;3.53161
198.00000;682.00000;3.68692
242.00000;682.00000;3.74741
286.00000;682.00000;3.67467
330.00000;682.00000;3.46951
374.00000;682.00000;2.42675
418.00000;682.00000;1.85946
462.00000;682.00000;1.55142
506.00000;682.00000;1.64947
550.00000;682.00000;1.62050
594.00000;682.00000;1.55211
638.00000;682.00000;1.43087
682.00000;682.00000;1.27574
726.00000;682.00000;1.56443
770.00000;682.00000;1.73729
814.00000;682.00000;1.84298
858.00000;682.00000;1.80232
902.00000;682.00000;1.83518
946.00000;682.00000;2.45715
990.00000;682.00000;3.27762
1034.00000;682.00000;4.18315
1078.00000;682.00000;4.89231
1122.00000;682.00000;4.83202
1166.00000;682.00000;3.40611
1210.00000;682.00000;3.24210
1254.00000;682.00000;2.74459
1298.00000;682.00000;2.14519
1342.00000;682.00000;2.10039
1386.00000;682.00000;2.46885
1430.00000;682.00000;2.71011
1474.00000;682.00000;2.80144
1518.00000;682.00000;2.84007
1562.00000;682.00000;2.86962
1606.00000;682.00000;2.85501
1650.00000;682.00000;2.84523
